# SOURCE: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 370:         5.377       51.451      22.60  EINDHOVEN
# 380:         5.762       50.906     114.30  MAASTRICHT
#
# YYYYMMDD = Date (YYYY=year MM=month DD=day);
# FXX      = Strongest wind gust (in 0.1 m/s);
# TG       = Average temperature (in 0.1 degrees Celsius);
# TN       = Minimum temperature (in 0.1 degrees Celsius);
# TNH      = Hour in which TN is measured;
# TX       = Maximum temperature (in 0.1 degrees Celsius);
# TXH      = Hour in which TX is measured;
# SQ       = Duration of Sunshine (in 0.1 hours);
# DR       = Duration of precipitation (in 0.1 hours);
#
# STN,YYYYMMDD,  FXX,   TG,   TN,  TNH,   TX,  TXH,   SQ,   DR
#
  260,20180805,   90,  205,  144,    5,  255,   15,  124,    0
  260,20180806,   60,  231,  126,    5,  313,   16,  140,    0
  260,20180807,  120,  259,  146,    4,  339,   14,  109,    8
  260,20180808,  120,  196,  120,   24,  232,   13,   42,   19
  260,20180809,  160,  172,  109,    4,  230,   11,   31,   38
  260,20180810,  140,  165,  126,   24,  211,   14,   79,   45
  260,20180811,  100,  156,  110,   22,  209,   15,  109,    6
  260,20180812,   90,  198,  112,    1,  271,   16,   29,    0
  260,20180813,   90,  187,  162,   14,  226,   10,   26,   25
  260,20180814,  100,  188,  157,   24,  224,   13,   62,    6
  260,20180815,  120,  197,  164,    1,  226,   13,   15,    0
  260,20180816,  110,  184,  149,   22,  236,   15,   79,    8
  260,20180817,   80,  174,  110,   24,  232,   13,   89,   22
  260,20180818,   90,  178,  109,    3,  217,   16,   48,    0
  260,20180819,  120,  194,  170,    6,  227,   15,    2,    0
  260,20180820,   60,  196,  145,   24,  231,   16,   36,    0
  260,20180821,   50,  200,  142,    5,  258,   14,   58,    0
  260,20180822,   80,  195,  136,   24,  253,   12,  102,    0
  260,20180823,  100,  183,  129,   23,  222,   16,    7,    9
  260,20180824,  130,  155,  108,   24,  198,   13,   84,   20
  260,20180825,  210,  127,   91,   22,  168,   16,   67,   64
  260,20180826,  150,  145,   70,    5,  196,   14,   61,   22
  260,20180827,  120,  171,  133,    1,  193,   11,    9,    9
  260,20180828,   60,  167,  101,   24,  213,   12,   43,    0
  260,20180829,   80,  147,   83,    5,  197,   14,   20,   37
  260,20180830,   80,  150,   80,   24,  199,   13,   94,    0
  260,20180831,   50,  124,   69,    3,  180,   16,   21,    0
  260,20180901,   60,  135,   52,    5,  208,   15,  104,    0
  260,20180902,   80,  159,   71,    5,  225,   14,  101,    0
  260,20180903,   70,  186,  145,    1,  222,   15,   16,    0
  260,20180904,   60,  206,  183,    4,  253,   13,   36,    0
  260,20180905,   90,  190,  170,   24,  228,   16,   33,   17
  260,20180906,   80,  166,  131,   24,  190,   12,   10,   36
  260,20180907,  120,  146,  122,   24,  174,   13,   85,   36
  260,20180908,  100,  148,  115,    2,  184,   13,   40,    0
  260,20180909,  100,  183,  133,    1,  236,   17,   55,    0
  260,20180910,  100,  174,  149,   24,  201,   13,    9,    0
  260,20180911,  140,  188,  149,    1,  226,   14,   20,    0
  260,20180912,  110,  153,  119,   24,  184,    1,    2,    9
  260,20180913,   60,  130,   70,   24,  195,   14,  116,    0
  260,20180914,   90,  135,   48,    4,  199,   12,   81,    0
  260,20180915,   80,  147,   88,   24,  203,   15,   61,    4
  260,20180916,   90,  146,   78,    5,  224,   15,   51,    0
  260,20180917,   80,  153,   76,    5,  242,   16,  104,    0
  260,20180918,  140,  189,   93,    1,  246,   13,  114,    0
  260,20180919,  140,  191,  138,    4,  236,   16,   82,    0
  260,20180920,  130,  197,  164,    4,  236,   14,   74,    0
  260,20180921,  170,  154,   95,   19,  200,    1,   51,   24
  260,20180922,  120,  121,  105,   24,  158,   11,   16,   68
  260,20180923,   90,   95,   58,   24,  109,   14,    4,   87
  260,20180924,  140,   99,   49,   23,  154,   13,   91,    3
  260,20180925,   50,   94,   25,    5,  164,   12,  102,    0
  260,20180926,  100,  119,   39,    2,  190,   15,   93,    0
  260,20180927,   80,  132,   67,   22,  215,   15,  108,    0
  260,20180928,  110,  114,   27,   24,  163,   14,   73,    0
  260,20180929,   60,   75,   10,    6,  155,   14,  103,    0
  260,20180930,   80,   99,   -1,    6,  175,   13,   83,    0
  260,20181001,  140,   95,   62,   22,  133,   12,   74,   31
  260,20181002,  120,  117,   78,    1,  165,   13,   34,   42
  260,20181003,   80,  126,   84,   21,  164,   13,   72,    0
  260,20181004,   90,  147,  116,   24,  180,   13,    8,    0
  260,20181005,   60,  128,   73,   24,  212,   15,  103,    0
  260,20181006,  130,  139,   63,    4,  210,   14,   90,    0
  260,20181007,  120,  101,   36,   24,  153,   13,   84,    0
  260,20181008,   70,   95,   29,    3,  169,   13,   77,    0
  260,20181009,   60,  109,   58,    1,  191,   14,   86,    0
  260,20181010,  100,  151,   50,    6,  235,   15,  100,    0
  260,20181011,  110,  176,  130,    7,  229,   15,   61,    0
